Basin,Geounit,Country,FacilityNamewithFacilityID,BusinessLine,ModelID,SerialNo,CalibrationFrequencyinMonth,DateofLastCalibrationTest,CalibrationComplianceIndicator,LeakTestFrequencyinMonth,DateofLastLeakTest,LeakTestComplianceIndicator,LastLeakTestResultRecorded,LeakTestResultComplianceIndicator,ConfirmationInventoryFrequency,Dateoflastconfirmationinvtest,Dateofnextconfirmationinvtest,PhotoInventoryFrequency,DateofLastPhotoInvtest,DateofNextPhotoInvtest,ConfirmationPhotoComplianceIndicator,Located,PhysicalLocation,PAUControlSite
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-H619737,K7-737,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,2021-11-25,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,Receiving,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-H619737,P4-522,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,2020-12-01,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,,Job,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-H619737,P6-316,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,2019-10-16,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,,Job,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-H619737,P7-400,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,2020-12-01,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,AWATLM - IST,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-H619737,R7-388,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,2020-06-10,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,,Job,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-H619737,S2-412,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,2022-12-04,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,,Job,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,GGLS-DA,A2504,,(No Record),Non Compliance,12 Month,2022-06-30,Compliance,2022-07-26,Compliance,3Month,2023-03-20,2023-06-20,12Month,2022-06-30,2023-06-30,Compliance,Receiving,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,GGLS-DA,A2806,,(No Record),Non Compliance,12 Month,2022-05-12,Compliance,2022-05-30,Compliance,3Month,2023-02-20,2023-05-20,12Month,2022-05-12,2023-05-12,Compliance,,Job,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,GGLS-DA,A2823,,(No Record),Non Compliance,12 Month,2023-02-12,Compliance,2023-03-22,Compliance,3Month,2023-02-15,2023-05-15,12Month,2023-02-12,2024-02-12,Compliance,Receiving,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,GGLS-DA,A2843,,(No Record),Non Compliance,12 Month,2022-05-12,Compliance,2022-06-20,Compliance,3Month,2023-01-30,2023-04-30,12Month,2022-05-12,2023-05-12,Compliance,Receiving,Shop,ASIA-APG-AWATLM
