Basin,Geounit,Country,Facility Name with Facility ID,Business Line,Model ID,Serial No,Calibration Frequency in Month,Date of Last Calibration Test,Calibration Compliance Indicator,Leak Test Frequency in Month,Date of Last Leak Test,Leak Test Compliance Indicator,Last Leak Test Result Recorded,Leak Test Result Compliance Indicator,Confirmation Inventory Frequency,Date of last confirmation inv test,Date of next confirmation inv test,Photo Inventory Frequency,Date of Last Photo Inv test,Date of Next Photo Inv test,Confirmation & Photo Compliance Indicator,Located,Physical Location,PAU / Countrol site
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|LKG-05,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,20-Feb-23,20-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|LKG-06,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,20-Feb-23,20-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|LKG-07,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,20-Feb-23,20-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-V|92,,(No Record),Non Compliance,6 Month,26-Dec-22,Compliance,"26-Mar-2023
(Due by Date)",Non Compliance,3Month,7-Mar-23,7-Jun-23,12Month,26-Dec-22,26-Dec-23,Compliance,NU90_RADIATION PIT,NU,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-Y|066-21,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,23-Feb-23,23-May-23,12Month,23-Feb-23,23-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-Y|066-22,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,20-Feb-23,20-Feb-24,Compliance,Semberah,Job,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-Y|066-23,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,20-Feb-23,20-Feb-24,Compliance,BPN_SC_IDBU,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-Y|079-63,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,27-Feb-23,27-May-23,12Month,27-Feb-23,27-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-Y|079-64,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Jan-23,20-Apr-23,12Month,20-Jan-23,20-Jan-24,Action Needed,MUTIARA,Job,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,NPV-CF|2379,,9-May-06,Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,16-May-07,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,BPN_RAD_PIT,Shop,IDBPN-WLES
